OTU	Size	Taxonomy	taxname	phylum
Otu6066	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6066_Lachnospiraceae_unclassified	Firmicutes
Otu6081	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);	Otu6081_Lactobacillaceae_unclassified	Firmicutes
Otu6084	1	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);	Otu6084_Phascolarctobacterium	Firmicutes
Otu6086	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);	Otu6086_Fusicatenibacter	Firmicutes
Otu6092	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6092_Lachnospiraceae_unclassified	Firmicutes
Otu6093	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu6093_Clostridiales_unclassified	Firmicutes
Otu6102	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6102_Lachnospiraceae_unclassified	Firmicutes
Otu6103	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);	Otu6103_Subdoligranulum	Firmicutes
Otu6108	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6108_Lachnospiraceae_unclassified	Firmicutes
Otu6111	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu6111_Actinomyces	Actinobacteria
Otu6121	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6121_Lachnospiraceae_unclassified	Firmicutes
Otu6122	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);	Otu6122_Faecalibacterium	Firmicutes
Otu6123	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu6123_Clostridiales_unclassified	Firmicutes
Otu6128	1	Bacteria(100);Acidobacteria(100);Acidobacteria_Gp3(100);Acidobacteria_Gp3_unclassified(100);Acidobacteria_Gp3_unclassified(100);Acidobacteria_Gp3_unclassified(100);	Otu6128_Acidobacteria_Gp3_unclassified	Acidobacteria
Otu6129	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6129_Lachnospiraceae_unclassified	Firmicutes
Otu6131	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu6131_Actinomyces	Actinobacteria
Otu6132	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);	Otu6132_Bifidobacterium	Actinobacteria
Otu6135	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu6135_Dorea	Firmicutes
Otu6136	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu6136_Clostridiales_unclassified	Firmicutes
Otu6137	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6137_Lachnospiraceae_unclassified	Firmicutes
Otu6146	1	Bacteria(100);Parcubacteria(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);	Otu6146_Parcubacteria_unclassified	Parcubacteria
Otu6148	1	Bacteria(100);Parcubacteria(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);Parcubacteria_unclassified(100);	Otu6148_Parcubacteria_unclassified	Parcubacteria
Otu6151	0	unknown;	Otu6151_unknown	unknown
Otu6158	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);	Otu6158_Bifidobacterium	Actinobacteria
Otu6180	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);	Otu6180_Fusicatenibacter	Firmicutes
Otu6192	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6192_Lachnospiraceae_unclassified	Firmicutes
Otu6206	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu6206_Prevotella	Bacteroidetes
Otu6210	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);	Otu6210_Bacteroidales_unclassified	Bacteroidetes
Otu6242	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);	Otu6242_Anaerostipes	Firmicutes
Otu6243	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu6243_Prevotella	Bacteroidetes
Otu6254	1	Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);	Otu6254_Bacteroidetes_unclassified	Bacteroidetes
Otu6257	1	Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);	Otu6257_Bacteroidetes_unclassified	Bacteroidetes
Otu6259	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu6259_Lachnospiraceae_unclassified	Firmicutes
Otu6262	1	Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Chitinophagaceae_unclassified(100);	Otu6262_Chitinophagaceae_unclassified	Bacteroidetes
Otu6263	1	Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);	Otu6263_Flavobacterium	Bacteroidetes
Otu6265	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);	Otu6265_Porphyromonadaceae_unclassified	Bacteroidetes
Otu6266	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);	Otu6266_Porphyromonadaceae_unclassified	Bacteroidetes
Otu6271	1	Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Chitinophagaceae_unclassified(100);	Otu6271_Chitinophagaceae_unclassified	Bacteroidetes
Otu6279	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu6279_Prevotella	Bacteroidetes
Otu6287	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu6287_Prevotella	Bacteroidetes
